Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
France,22,0.89,64.6,69.3,82.2,16,11.1,38056.36,58,0.2,2,84700,83.8,100.4,22,0.5,87.4,4,41,28.6,29.6,2,1.05
Gabon,110,0.68,1.7,2.4,64.4,12.5,7.8,16366.93,93.6,4.4,0.6,269,9.8,210.4,110,2.4,87.1,0.2,20.9,67.6,8.9,4.1,1.03
Gambia,175,0.44,1.9,3.1,60.2,8.8,2.8,1507.33,87.8,2.8,-1.5,171,15.6,119.6,175,3.2,58.9,0.3,17,87.9,4.5,5.8,1.03
Georgia,76,0.75,4.3,4,74.9,13.8,12.1,7164.03,102.3,5.9,-5.8,5392,48.9,124.9,76,-0.4,53.2,0.3,38.1,27.6,22,1.8,1.11
Germany,6,0.92,82.7,79.6,80.9,16.5,13.1,43918.54,85.3,1.4,1.3,31500,86.2,120.4,6,-0.1,74.3,3.5,46.3,19.7,32.7,1.4,1.06
Ghana,140,0.58,26.4,35.3,61.4,11.5,7,3852,89.4,6.7,-0.8,931,18.9,114.8,140,2.1,53.9,3.7,20.9,65,5.9,3.9,1.05
Greece,29,0.87,11.1,11,80.9,17.6,10.3,24524.15,63.4,1.2,0.9,17900,63.2,115,29,0,62.2,0.6,43.5,22.6,31.1,1.5,1.07
Grenada,79,0.75,0.1,0.1,73.4,15.8,8.6,10939.01,75.8,8.9,-8.1,116,37.4,126.5,79,0.4,40.2,0,27.2,40,10.7,2.2,1.05
Guatemala,128,0.63,15.9,22.6,71.8,10.7,5.6,6929.19,58.6,2.5,-1,1331,23.4,106.6,128,2.5,51.1,2.3,19.7,71.3,8.4,3.8,1.05
Guinea,182,0.41,12,17.3,58.8,8.7,2.4,1095.76,83.1,2.2,-0.2,56,1.7,72.1,182,2.5,36.9,1.9,18.8,75.9,5.6,5,1.02
Guinea-Bissau,178,0.42,1.7,2.5,55.2,9,2.8,1362.35,,1.5,-1.2,30,3.3,63.5,178,2.4,46,0.3,19.3,73.3,5.3,5,1.03
Guyana,124,0.64,0.8,0.9,66.4,10.3,8.5,6521.66,203.8,6.7,-8.2,177,37.4,70.5,124,0.5,28.6,0.1,23,55.7,5.7,2.6,1.05
Haiti,163,0.48,10.5,12.5,62.8,8.7,4.9,1668.71,71.1,2.2,-3.4,295,11.4,64.7,163,1.4,57.4,1.3,22.7,55.8,7.5,3.2,1.05
Honduras,131,0.61,8.3,10.8,73.1,11.1,5.5,3937.7,117.5,5.8,-1.2,863,19.1,93.5,131,2,53.9,1,22.5,56.1,7.5,3,1.05
"Hong Kong, China (SAR)",12,0.91,7.3,7.9,84,15.6,11.2,53959.41,458.3,28,4.2,25700,74.6,239.3,12,0.7,100,0.3,43.2,16,20.5,1.1,1.07
Hungary,44,0.83,9.9,9.5,75.2,15.4,11.6,22915.76,169.9,-3.2,1.5,10700,76.1,118.1,44,-0.2,70.9,0.5,41,21.9,26.1,1.4,1.06
Iceland,16,0.9,0.3,0.4,82.6,19,10.6,35182.11,103.1,3.1,3.3,800,98.2,111.1,16,1.1,94.1,0,35.9,31.2,20.3,2.1,1.05
India,130,0.61,1267.4,1476.4,68,11.7,5.4,5497.5,53.3,1.5,-0.4,6968,18,74.5,130,1.2,32.4,122,26.9,42.9,8.3,2.5,1.11
Indonesia,110,0.68,252.8,293.5,68.9,13,7.6,9788.43,49.5,2.7,-0.6,8802,17.1,126.2,110,1.2,53,23.3,28.4,42.2,8.2,2.4,1.05
Iran (Islamic Republic of),69,0.77,78.5,91.3,75.4,15.1,8.2,15439.8,53.7,0.8,-0.8,4769,39.4,87.8,69,1.3,69.5,7.1,29.5,34.2,7.8,1.9,1.05
