Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
Switzerland,3,0.93,8.2,9.5,83,15.8,12.8,56431.07,132.2,-1.2,8,8967,87,140.5,3,1,73.9,0.4,42.3,21.9,27.1,1.5,1.05
Syrian Arab Republic,134,0.59,22,29.9,69.6,12.3,6.3,2728.22,76.5,3.1,-13.7,5070,28.1,71,134,0.7,57.3,2.6,22.7,56.4,7.1,3,1.05
Tajikistan,129,0.62,8.4,11.4,69.4,11.2,10.4,2517.4,87.5,1.3,-2.5,208,17.5,95.1,129,2.4,26.7,1.2,22,59.4,5.2,3.9,1.05
Tanzania (United Republic of),151,0.52,50.8,79.4,65,9.2,5.1,2411.47,49.5,4.3,-0.6,1063,4.9,62.8,151,3,28.1,8.8,17.6,85.9,6.2,5.2,1.03
Thailand,93,0.73,67.2,67.6,74.4,13.5,7.3,13322.9,143.8,3.3,0.3,26500,34.9,144.4,93,0.3,35.2,3.6,38,24.2,14.5,1.4,1.06
The former Yugoslav Republic of Macedonia,81,0.75,2.1,2.1,75.4,13.4,9.3,11780.04,126.7,4.1,-0.5,400,68.1,109.1,81,0.1,59.7,0.1,37.8,23.2,18.3,1.4,1.05
Timor-Leste,133,0.59,1.2,1.6,68.2,11.7,4.4,5362.52,136.7,1.6,-13.3,58,1.1,58.7,133,1.7,29.5,0.2,16.9,86.5,6.6,5.9,1.05
Togo,162,0.48,7,10,59.7,12.2,4.5,1228.15,95.8,1.9,-0.3,327,5.7,69,162,2.6,39.5,1.1,19,74.6,4.9,4.7,1.02
Tonga,100,0.72,0.1,0.1,72.8,14.7,10.7,5069.13,80.5,2.5,-15.4,45,40,64.3,100,0.4,23.7,0,21.3,64.3,10.2,3.8,1.05
Trinidad and Tobago,64,0.77,1.3,1.3,70.4,12.3,10.9,26089.95,103.2,7,-2.2,434,65.1,147.3,64,0.3,14.5,0.1,34.2,29.9,13.8,1.8,1.04
Tunisia,96,0.72,11.1,12.6,74.8,14.6,6.8,10404.5,103.1,2.3,-0.6,6269,46.2,128.5,96,1.1,67,0.9,31.2,33.4,10.8,2,1.05
Turkey,72,0.76,75.8,86.8,75.3,14.5,7.6,18677.13,57.9,1.6,0.9,37800,51,94.8,72,1.2,74.3,6.3,30.1,37,11.4,2.1,1.05
Turkmenistan,109,0.69,5.3,6.2,65.6,10.8,9.9,13066.17,117.7,7.3,-1,8,12.2,135.8,109,1.3,49.7,0.5,26.4,41.7,6.1,2.3,1.05
Uganda,163,0.48,38.8,63.4,58.5,9.8,5.4,1612.58,50.7,4.8,-0.8,1206,17.7,52.4,163,3.3,16.8,7.3,15.9,96.6,4.9,5.9,1.03
Ukraine,81,0.75,44.9,39.8,71,15.1,11.3,8178.07,102.2,2.5,-0.2,24700,43.4,144.1,81,-0.6,69.5,2.5,39.9,21.4,21.2,1.5,1.06
United Arab Emirates,41,0.84,9.4,12.3,77,13.3,9.5,60868.33,176.1,2.6,11.4,7126,90.4,178.1,41,2.5,85.2,0.7,31.4,19.4,0.6,1.8,1.05
United Kingdom,14,0.91,63.5,68.6,80.7,16.2,13.1,39267.19,61.6,1.8,2.9,31200,91.6,123.6,14,0.6,80,3.9,40.5,27.4,28.1,1.9,1.05
United States,8,0.91,322.6,362.6,79.1,16.5,12.9,52946.51,30,1.8,3.1,69800,87.4,98.4,8,0.8,83.1,21,37.7,29.4,22.2,2,1.05
Uruguay,52,0.79,3.4,3.6,77.2,15.5,8.5,19283.48,51.3,5,-1.8,2683,61.5,160.8,52,0.3,92.8,0.2,34.8,33.4,22.3,2.1,1.05
Uzbekistan,114,0.68,29.3,34.1,68.4,11.5,10.9,5567.01,59.3,1.9,-1.4,1969,43.6,73.8,114,1.4,36.3,3,26,41.5,6.4,2.3,1.05
Vanuatu,134,0.59,0.3,0.4,71.9,10.6,6.8,2802.65,99.1,4,0,110,18.8,60.4,134,2.2,25.8,0,22.1,60.3,6.7,3.4,1.07
Venezuela (Bolivarian Republic of),71,0.76,30.9,37.2,74.2,14.2,8.9,16158.96,50.4,1.6,0.3,986,57,99,71,1.5,94.1,3,27.7,42.6,10.1,2.4,1.05
Viet Nam,116,0.67,92.5,101.8,75.8,11.9,7.5,5091.79,163.7,5.2,-0.4,7572,48.3,147.1,116,1,33,7.1,30.7,31.7,9.6,1.8,1.1
Yemen,160,0.5,25,34,63.8,9.2,2.6,3519.49,82.1,-0.4,-1.1,990,22.6,68.5,160,2.3,34.1,3.5,19.7,67.5,5.1,4.2,1.05
Zambia,139,0.59,15,25,60.1,13.5,6.6,3734.03,81.6,6.8,-0.6,915,17.3,67.3,139,3.2,40.5,2.7,16.7,90.6,5,5.7,1.02
Zimbabwe,155,0.51,14.6,20.3,57.5,10.9,7.3,1615.45,86.4,3,5.7,1833,19.9,80.8,155,2.8,40.1,2.1,20.1,66.9,6.7,3.5,1.02
