district,address,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Xuhui,南丹路286弄212号,31.21278,121.56217,3000,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,淮海中路526弄65号,31.21278,121.56217,3200,1,0,1,0,10,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,陕西南路25弄,31.21278,121.56217,3200,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Baoshan,顾太路85弄158号,31.21278,121.56217,3200,2,1,1,0,74,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,瑞金二路129弄39号,31.21278,121.56217,3200,1,0,1,0,12,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,江苏路62弄,31.21278,121.56217,3200,1,0,1,0,40,0,detached lane house,residential,1,0,0,0,1,0,0,0,2
Xuhui,永康路38弄18号,31.21278,121.56217,3200,1,0,1,0,20,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
Huangpu,延安中路545弄3号,31.21278,121.56217,3200,1,0,1,0,12,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Baoshan,淞南三村65号,31.21278,121.56217,3234,2,1,1,0,58,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,复兴中路1295弄4号,31.21278,121.56217,3300,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,长宁支路133弄,31.21278,121.56217,3300,1,0,1,0,33,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,长乐路81号,31.21278,121.56217,3300,1,1,1,0,15,0,detached lane house,residential,1,1,0,1,0,0,0,0,3
Jing'an,陕西北路119弄830号,31.24863,121.47429,3300,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,威海路830号,31.22542,121.456096,3300,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,威海路830号,31.22542,121.456096,3300,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Xuhui,陕西南路271弄1号,31.20809225,121.4626095,3300,1,0,1,1,20,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Jing'an,华山路351弄10号,31.21278,121.56217,3300,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,陕西北路119弄,31.24863,121.47429,3300,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,双山路161弄7号,31.21278,121.56217,3390,1,1,1,0,40,0,public housing,residential,0,1,1,1,1,1,0,0,5
Huangpu,陕西南路287弄18号,31.21278,121.56217,3400,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,进贤路138弄3号,31.21278,121.56217,3400,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,陕西南路287弄26号,31.21278,121.56217,3450,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,娄山关路815弄128号,31.21638,121.40587,3499,1,0,1,0,26,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,梦花街73弄1号,31.21278,121.56217,3500,1,1,1,0,25,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,梦花街73弄1号,31.21278,121.56217,3500,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,大渡河路2030弄6号,31.228677,121.39569,3500,1,1,1,0,41,0,public housing,multi-use,0,1,1,0,0,0,0,0,2
Xuhui,永嘉路394号,31.21278,121.56217,3500,1,0,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,延平路220弄9号,31.21278,121.56217,3500,1,0,1,0,37,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,淮海中1984弄23号,31.21278,121.56217,3500,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,陕西南路287弄7号,31.21278,121.56217,3500,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,雁荡路55弄7号,31.21278,121.56217,3500,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,新乐路100弄10号,31.21278,121.56217,3500,1,0,1,0,12,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Huangpu,马当路306弄51号,31.21278,121.56217,3500,1,0,1,0,16,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,新昌路111号,31.21278,121.56217,3500,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,安福路228弄11号,31.21278,121.56217,3500,1,0,1,0,12,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,富民路197弄37号,31.21278,121.56217,3500,1,0,1,0,12,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Jing'an,愚园路608弄180号,31.21278,121.56217,3600,1,0,1,0,15,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Xuhui,永康路38弄18号,31.21278,121.56217,3600,1,0,1,0,22,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,威海路652弄168号,31.21278,121.56217,3600,1,0,1,0,18,0,detached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,宁海东路41号,31.21278,121.56217,3600,1,1,1,0,20,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Jing'an,阳曲路470弄，35号,31.21278,121.56217,3600,1,1,1,0,50,0,public housing,multi-use,0,1,1,0,0,0,0,0,2
Minhang,华侨城四期1306号,31.21278,121.56217,3619,2,1,1,0,59,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Xuhui,巨鹿路401弄3号,31.21278,121.56217,3650,1,0,1,0,17,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,淡水路228号,31.21278,121.56217,3700,1,0,1,0,13,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,医学院路52号,31.21278,121.56217,3800,1,0,1,0,21,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,复兴西路30弄5号,31.21278,121.56217,3800,1,1,1,0,20,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,3800,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,天平路212弄3号,31.21278,121.56217,3800,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,顺义路10弄10号,31.21278,121.56217,3800,1,0,1,0,34,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,长乐路169弄38号,31.21278,121.56217,3800,1,1,1,0,20,0,attached lane house,multi-use,1,1,1,0,0,0,1,0,4
Changning,新华路393弄2号,31.20268798,121.4307419,3800,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,安福路275弄,31.21278,121.56217,3800,1,0,0,0,20,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,长乐路169弄69号,31.21278,121.56217,3800,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,31.21278,121.56217,3800,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,31.21278,121.56217,3800,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,安福路229弄,31.21278,121.56217,3800,1,1,1,0,20,0,public housing,multi-use,1,1,1,1,1,1,0,0,6
Hongkou,水电路191弄,31.21278,121.56217,3800,1,1,1,0,48,0,public housing,residential,0,1,0,0,1,0,0,0,2
Huangpu,合肥路620号,31.21278,121.56217,3800,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,玉屏南路725号,31.21278,121.56217,3800,2,1,1,0,58,0,public housing,residential,1,1,1,0,0,0,0,0,3
Huangpu,合肥路620号,31.21278,121.56217,3800,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,胶州路190弄6号,31.24094423,121.4326414,3800,1,0,1,0,32,0,detached lane house,multi-use,0,1,0,0,0,1,0,0,2
Pudong,商城路918弄8号,31.21278,121.56217,3850,1,1,1,0,41,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Changning,愚园路1032弄,31.21278,121.56217,3890,2,1,1,0,27,0,attached lane house,multi-use,1,0,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,31.21278,121.56217,3900,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路998弄889号,31.21278,121.56217,3900,1,1,1,0,30,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,31.21278,121.56217,3900,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,盛家街路80弄5号,31.21278,121.56217,3900,1,1,1,0,22,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Minhang,东兰路307弄,31.21278,121.56217,3960,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,海海中路1487弄,31.21278,121.56217,4000,1,1,1,0,10,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Zhabei,临汾路11号,31.21278,121.56217,4000,2,1,1,0,58,0,public housing,residential,0,0,0,0,0,1,0,0,1
Jing'an,南汇路34弄11号,31.21278,121.56217,4000,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,华山路803弄,31.21278,121.56217,4000,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,南京西路1129弄56号,31.21278,121.56217,4000,1,0,1,0,18,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,茂名北路111弄15号,31.21278,121.56217,4000,1,0,1,0,38,0,detached lane house,residential,0,0,0,1,0,0,0,0,1
Jing'an,长乐路774弄20号,31.21278,121.56217,4000,1,1,1,0,18,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,进贤路138弄8号,31.21278,121.56217,4000,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,复兴中路553弄35号,31.21278,121.56217,4000,1,0,1,0,18,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,襄阳南路444弄51号,31.21278,121.56217,4000,1,0,1,0,35,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,新昌路553号,31.21278,121.56217,4000,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,长宁路396弄,31.21278,121.56217,4000,1,0,1,0,45,0,public housing,residential,0,1,0,0,1,0,0,0,2
Huangpu,梦花街73弄1号,31.21278,121.56217,4000,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,平望街15弄,31.21278,121.56217,4000,1,0,1,0,40,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,4000,1,1,1,1,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,常熟路163弄27号,31.21278,121.56217,4000,1,0,1,0,24,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,4000,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,宁海东路250号,31.21278,121.56217,4000,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,威海路910弄77号,31.21278,121.56217,4000,1,1,1,0,30,0,attached lane house,multi-use,0,1,0,0,1,0,0,0,2
Jing'an,常熟路108弄9号,31.21278,121.56217,4000,1,1,1,0,20,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,福州路298号,31.21278,121.56217,4000,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,陕西南路287弄1号,31.20809225,121.4626095,4000,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,4000,2,2,1,1,40,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Putuo,白玉路40号,31.21278,121.56217,4091,1,1,1,0,37,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,陕西南路271弄1号,31.20809225,121.4626095,4100,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,哈密路1800弄3号,31.21278,121.56217,4100,1,1,1,0,40,0,public housing,multi-use,0,1,1,1,1,1,0,0,5
Xuhui,陕西南路534弄2号,31.21278,121.56217,4100,1,0,1,0,18,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,宣化路72弄5号,31.21278,121.56217,4200,1,0,1,0,36,0,public housing,residential,0,1,1,0,0,0,0,0,2
Jing'an,南京西路591弄121号,31.21278,121.56217,4200,1,0,1,0,25,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,陕西南路287弄26号,31.21278,121.56217,4200,1,0,1,0,28,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,北海路267弄9号,31.21278,121.56217,4200,2,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
